Raw Score," Inhibit","  Self-Monitor","  Shift","  Emotional Crontrol","  Initiate","  Working Memory","  Plan/Organize","  Task-Monitor","  Organization of Materials "
24,,"[null, null]",,,"[null, null]",,,"[null, null]","[null, null]"
23,,"[null, null]",,,"[null, null]",,,"[null, null]","[null, null]"
22,,"[null, null]",,,"[null, null]",,,"[null, null]","[null, null]"
21,,"[null, null]",,,"[null, null]",,,"[null, null]","[null, null]"
20,,"[null, null]",,,"[null, null]",,,"[null, null]","[null, null]"
19,,"[null, null]",,,"[null, null]",,,"[null, null]","[null, null]"
18,,"[null, null]",,,"[null, null]",,,"[null, null]",
17,,"[null, null]",,,"[null, null]",,,"[null, null]",
16,,"[null, null]",,,"[null, null]",,,"[null, null]",
15,,"[null, null]",,,,,,,
14,,"[null, null]",,,,,,,
13,,"[null, null]",,,,,,,
12,,,,,,,,,
11,,,,,,,,,
10,,,,,,,,,
9,,,,,,,,,
8,,,,,,,,,
7,"[null, null]",,"[null, null]","[null, null]",,"[null, null]","[null, null]",,
6,"[null, null]",,"[null, null]","[null, null]",,"[null, null]","[null, null]",,
5,"[null, null]",,"[null, null]","[null, null]",,"[null, null]","[null, null]",,
4,"[null, null]",,"[null, null]","[null, null]",,"[null, null]","[null, null]",,
